unique.id,reference.number,year,division,family.publication,genus.publication,binomial.publication,family.resolved,genus.resolved,binomial.resolved,growth.form,tissue,position,dead.alive,decay.class,cwd.diameter,cwd.length,tissue.c,variation.tissue.c,volatile.c,variation.volatile.c,drying.method,drying.temperature.avg,drying.duration.hrs,analytical.instrument,sample.handling,biome,biome.whittaker,region,country,latitude,longitude,latitude.r,longitude.r,mat.pub,map.pub,elev,bio.MAT,bio.MDR,bio.isothermality,bio.temp_seasonality,bio.maxtemp,bio.mintemp,bio.temp_annual_range,bio.mean_temp_wettest_quarter,bio.mean_temp_driest_quarter,bio.mean_temp_warmest_quarter,bio.mean_temp_coldest_quarter,bio.MAP,bio.prec_wettest_month,bio.prec_driest_month,bio.prec_seasonality,bio.prec_wettest_quarter,bio.prec_driest_quarter,bio.prec_warmest_quarter,bio.prec_coldest_quarter,temp.Jan,temp.Feb,temp.Mar,temp.Apr,temp.May,temp.Jun,temp.Jul,temp.Aug,temp.Sep,temp.Oct,temp.Nov,temp.Dec,prec.Jan,prec.Feb,prec.Mar,prec.Apr,prec.May,prec.Jun,prec.Jul,prec.Aug,prec.Sep,prec.Oct,prec.Nov,prec.Dec,compilation,notes
687,47,2014,angiosperm,Juglandaceae,Juglans,Juglans nigra,Juglandaceae,Juglans,Juglans_nigra,tree,coarseroot,standing,alive,live,NA,NA,44.7,0.3,NA,NA,freeze_drying,NA,168,elemental_analyzer_CHN_Flash_2000_Thermo_Fisher,discs_ground,boreal,Temperate seasonal forest,North_America,Canada,44.54111¡ N,80.20889¡ W,44.54111,-80.20889,NA,NA,175,7.474999905,8.149999619,25,897.0139771,24.39999962,-8.199999809,32.59999847,0.116666712,-0.633333385,18.35000038,-3.383333445,952,97,57,16.71216583,285,184,239,217,-4.400000095,-4.099999905,-1.700000048,3.900000095,9.800000191,15.5,19.60000038,19.60000038,15.89999962,10.89999962,5.300000191,-0.600000024,95,65,57,62,80,80,71,77,91,84,97,93,Martin et al. 2018 Nature Geoscience,error in SE
688,47,2014,angiosperm,Fagaceae,Quercus,Quercus_rubra,Fagaceae,Quercus,Quercus_rubra,tree,coarseroot,standing,alive,live,NA,NA,45.2,1,NA,NA,freeze_drying,NA,168,elemental_analyzer_CHN_Flash_2000_Thermo_Fisher,discs_ground,boreal,Temperate seasonal forest,North_America,Canada,44.54111¡ N,80.20889¡ W,44.54111,-80.20889,NA,NA,175,7.474999905,8.149999619,25,897.0139771,24.39999962,-8.199999809,32.59999847,0.116666712,-0.633333385,18.35000038,-3.383333445,952,97,57,16.71216583,285,184,239,217,-4.400000095,-4.099999905,-1.700000048,3.900000095,9.800000191,15.5,19.60000038,19.60000038,15.89999962,10.89999962,5.300000191,-0.600000024,95,65,57,62,80,80,71,77,91,84,97,93,Martin et al. 2018 Nature Geoscience,error in SE
689,47,2014,gymnosperm,Pinaceae,Picea,Picea_abies,Pinaceae,Picea,Picea_abies,tree,coarseroot,standing,alive,live,NA,NA,48.1,0.6,NA,NA,freeze_drying,NA,168,elemental_analyzer_CHN_Flash_2000_Thermo_Fisher,discs_ground,boreal,Temperate seasonal forest,North_America,Canada,44.54111¡ N,80.20889¡ W,44.54111,-80.20889,NA,NA,175,7.474999905,8.149999619,25,897.0139771,24.39999962,-8.199999809,32.59999847,0.116666712,-0.633333385,18.35000038,-3.383333445,952,97,57,16.71216583,285,184,239,217,-4.400000095,-4.099999905,-1.700000048,3.900000095,9.800000191,15.5,19.60000038,19.60000038,15.89999962,10.89999962,5.300000191,-0.600000024,95,65,57,62,80,80,71,77,91,84,97,93,Martin et al. 2018 Nature Geoscience,error in SE
690,47,2014,gymnosperm,Cupressaceae,Thuja,Thuja_occidentalis,Cupressaceae,Thuja,Thuja_occidentalis,tree,coarseroot,standing,alive,live,NA,NA,45.8,2.3,NA,NA,freeze_drying,NA,168,elemental_analyzer_CHN_Flash_2000_Thermo_Fisher,discs_ground,boreal,Temperate seasonal forest,North_America,Canada,44.54111¡ N,80.20889¡ W,44.54111,-80.20889,NA,NA,175,7.474999905,8.149999619,25,897.0139771,24.39999962,-8.199999809,32.59999847,0.116666712,-0.633333385,18.35000038,-3.383333445,952,97,57,16.71216583,285,184,239,217,-4.400000095,-4.099999905,-1.700000048,3.900000095,9.800000191,15.5,19.60000038,19.60000038,15.89999962,10.89999962,5.300000191,-0.600000024,95,65,57,62,80,80,71,77,91,84,97,93,Martin et al. 2018 Nature Geoscience,error in SE
691,48,2017,gymnosperm,Pinaceae,Pinus,Pinus_thunbergii,Pinaceae,Pinus,Pinus_thunbergii,tree,stem,standing,alive,live,NA,NA,47.4,NA,NA,NA,conventional_drying,85,168,elemental_analyzer_Flash_2000_Thermo_Fisher,ground,temperate,Temperate seasonal forest,Asia,South_Korea,35.12027778¡ N,128.06361111¡ E,35.12027778,128.0636111,13.1,1512,73,13.02499962,10.13333321,29.20269012,910.2908936,29.29999924,-5.400000095,34.70000076,23.83333397,1.483333349,23.83333397,1.483333349,1395,278,20,78.84157562,749,87,749,87,0.100000001,2,6.599999905,12.60000038,17.29999924,21.20000076,24.79999924,25.5,20.79999924,14.89999962,8.100000381,2.299999952,26,41,66,121,118,199,278,272,158,53,43,20,Martin et al. 2018 Nature Geoscience,error in SE
692,48,2017,gymnosperm,Pinaceae,Pinus,Pinus_thunbergii,Pinaceae,Pinus,Pinus_thunbergii,tree,bark,standing,alive,live,NA,NA,48,NA,NA,NA,conventional_drying,85,168,elemental_analyzer_Flash_2000_Thermo_Fisher,ground,temperate,Temperate seasonal forest,Asia,South_Korea,35.12027778¡ N,128.06361111¡ E,35.12027778,128.0636111,13.1,1512,73,13.02499962,10.13333321,29.20269012,910.2908936,29.29999924,-5.400000095,34.70000076,23.83333397,1.483333349,23.83333397,1.483333349,1395,278,20,78.84157562,749,87,749,87,0.100000001,2,6.599999905,12.60000038,17.29999924,21.20000076,24.79999924,25.5,20.79999924,14.89999962,8.100000381,2.299999952,26,41,66,121,118,199,278,272,158,53,43,20,Martin et al. 2018 Nature Geoscience,error in SE
693,48,2017,gymnosperm,Pinaceae,Pinus,Pinus_thunbergii,Pinaceae,Pinus,Pinus_thunbergii,tree,branch,standing,alive,live,NA,NA,48.3,NA,NA,NA,conventional_drying,85,168,elemental_analyzer_Flash_2000_Thermo_Fisher,ground,temperate,Temperate seasonal forest,Asia,South_Korea,35.12027778¡ N,128.06361111¡ E,35.12027778,128.0636111,13.1,1512,73,13.02499962,10.13333321,29.20269012,910.2908936,29.29999924,-5.400000095,34.70000076,23.83333397,1.483333349,23.83333397,1.483333349,1395,278,20,78.84157562,749,87,749,87,0.100000001,2,6.599999905,12.60000038,17.29999924,21.20000076,24.79999924,25.5,20.79999924,14.89999962,8.100000381,2.299999952,26,41,66,121,118,199,278,272,158,53,43,20,Martin et al. 2018 Nature Geoscience,error in SE
694,48,2017,gymnosperm,Pinaceae,Pinus,Pinus_thunbergii,Pinaceae,Pinus,Pinus_thunbergii,tree,coarseroot,standing,alive,live,NA,NA,45.2,NA,NA,NA,conventional_drying,85,168,elemental_analyzer_Flash_2000_Thermo_Fisher,ground,temperate,Temperate seasonal forest,Asia,South_Korea,35.12027778¡ N,128.06361111¡ E,35.12027778,128.0636111,13.1,1512,73,13.02499962,10.13333321,29.20269012,910.2908936,29.29999924,-5.400000095,34.70000076,23.83333397,1.483333349,23.83333397,1.483333349,1395,278,20,78.84157562,749,87,749,87,0.100000001,2,6.599999905,12.60000038,17.29999924,21.20000076,24.79999924,25.5,20.79999924,14.89999962,8.100000381,2.299999952,26,41,66,121,118,199,278,272,158,53,43,20,Martin et al. 2018 Nature Geoscience,error in SE
695,48,2017,gymnosperm,Pinaceae,Pinus,Pinus_densiflora,Pinaceae,Pinus,Pinus_densiflora,tree,stem,standing,alive,live,NA,NA,47.3,NA,NA,NA,conventional_drying,85,168,elemental_analyzer_Flash_2000_Thermo_Fisher,ground,temperate,Temperate seasonal forest,Asia,South_Korea,35.20722222¡ N,128.17277778¡ E,35.20722222,128.1727778,13.1,1528,127,12.72083282,9.958333015,29.03304291,902.6890259,28.89999962,-5.400000095,34.29999924,23.43333244,1.266666532,23.43333244,1.266666532,1398,284,19,80.05389404,757,85,757,85,-0.100000001,1.700000048,6.400000095,12.30000019,16.89999962,20.79999924,24.39999962,25.10000038,20.39999962,14.60000038,7.900000095,2.099999905,25,41,66,120,117,199,284,274,159,52,42,19,Martin et al. 2018 Nature Geoscience,error in SE
696,48,2017,gymnosperm,Pinaceae,Pinus,Pinus_densiflora,Pinaceae,Pinus,Pinus_densiflora,tree,bark,standing,alive,live,NA,NA,49.1,NA,NA,NA,conventional_drying,85,168,elemental_analyzer_Flash_2000_Thermo_Fisher,ground,temperate,Temperate seasonal forest,Asia,South_Korea,35.20722222¡ N,128.17277778¡ E,35.20722222,128.1727778,13.1,1528,127,12.72083282,9.958333015,29.03304291,902.6890259,28.89999962,-5.400000095,34.29999924,23.43333244,1.266666532,23.43333244,1.266666532,1398,284,19,80.05389404,757,85,757,85,-0.100000001,1.700000048,6.400000095,12.30000019,16.89999962,20.79999924,24.39999962,25.10000038,20.39999962,14.60000038,7.900000095,2.099999905,25,41,66,120,117,199,284,274,159,52,42,19,Martin et al. 2018 Nature Geoscience,error in SE
697,48,2017,gymnosperm,Pinaceae,Pinus,Pinus_densiflora,Pinaceae,Pinus,Pinus_densiflora,tree,branch,standing,alive,live,NA,NA,48.1,NA,NA,NA,conventional_drying,85,168,elemental_analyzer_Flash_2000_Thermo_Fisher,ground,temperate,Temperate seasonal forest,Asia,South_Korea,35.20722222¡ N,128.17277778¡ E,35.20722222,128.1727778,13.1,1528,127,12.72083282,9.958333015,29.03304291,902.6890259,28.89999962,-5.400000095,34.29999924,23.43333244,1.266666532,23.43333244,1.266666532,1398,284,19,80.05389404,757,85,757,85,-0.100000001,1.700000048,6.400000095,12.30000019,16.89999962,20.79999924,24.39999962,25.10000038,20.39999962,14.60000038,7.900000095,2.099999905,25,41,66,120,117,199,284,274,159,52,42,19,Martin et al. 2018 Nature Geoscience,error in SE
698,48,2017,gymnosperm,Pinaceae,Pinus,Pinus_densiflora,Pinaceae,Pinus,Pinus_densiflora,tree,coarseroot,standing,alive,live,NA,NA,44,NA,NA,NA,conventional_drying,85,168,elemental_analyzer_Flash_2000_Thermo_Fisher,ground,temperate,Temperate seasonal forest,Asia,South_Korea,35.20722222¡ N,128.17277778¡ E,35.20722222,128.1727778,13.1,1528,127,12.72083282,9.958333015,29.03304291,902.6890259,28.89999962,-5.400000095,34.29999924,23.43333244,1.266666532,23.43333244,1.266666532,1398,284,19,80.05389404,757,85,757,85,-0.100000001,1.700000048,6.400000095,12.30000019,16.89999962,20.79999924,24.39999962,25.10000038,20.39999962,14.60000038,7.900000095,2.099999905,25,41,66,120,117,199,284,274,159,52,42,19,Martin et al. 2018 Nature Geoscience,error in SE
699,49,2016,gymnosperm,Cupressaceae,Cupressus,Cupressus_arizonica,Cupressaceae,Cupressus,Hesperocyparis_arizonica,tree,stem,standing,alive,live,NA,NA,58.8,1.6,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
700,49,2016,gymnosperm,Cupressaceae,Cupressus,Cupressus_arizonica,Cupressaceae,Cupressus,Hesperocyparis_arizonica,tree,bark,standing,alive,live,NA,NA,47.8,1.1,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
701,49,2016,gymnosperm,Cupressaceae,Cupressus,Cupressus_arizonica,Cupressaceae,Cupressus,Hesperocyparis_arizonica,tree,branch,standing,alive,live,NA,NA,55.5,1.6,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
702,49,2016,gymnosperm,Cupressaceae,Cupressus,Cupressus_arizonica,Cupressaceae,Cupressus,Hesperocyparis_arizonica,tree,twig,standing,alive,live,NA,NA,48.3,0.9,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
703,49,2016,gymnosperm,Cupressaceae,Cupressus,Cupressus_arizonica,Cupressaceae,Cupressus,Hesperocyparis_arizonica,tree,coarseroot,standing,alive,live,NA,NA,51.2,3,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
704,49,2016,angiosperm,Moraceae,Morus,Morus_alba,Moraceae,Morus,Morus_alba,tree,stem,standing,alive,live,NA,NA,54.3,1.5,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
705,49,2016,angiosperm,Moraceae,Morus,Morus_alba,Moraceae,Morus,Morus_alba,tree,bark,standing,alive,live,NA,NA,45.4,1.6,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
706,49,2016,angiosperm,Moraceae,Morus,Morus_alba,Moraceae,Morus,Morus_alba,tree,branch,standing,alive,live,NA,NA,54.4,2.1,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
707,49,2016,angiosperm,Moraceae,Morus,Morus_alba,Moraceae,Morus,Morus_alba,tree,twig,standing,alive,live,NA,NA,49.3,3.1,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
708,49,2016,angiosperm,Moraceae,Morus,Morus_alba,Moraceae,Morus,Morus_alba,tree,coarseroot,standing,alive,live,NA,NA,52.3,1.8,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
709,49,2016,gymnosperm,Pinaceae,Pinus,Pinus_eldarica,Pinaceae,Pinus,Pinus_brutia_var_eldarica,tree,stem,standing,alive,live,NA,NA,59.2,1.6,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
710,49,2016,gymnosperm,Pinaceae,Pinus,Pinus_eldarica,Pinaceae,Pinus,Pinus_brutia_var_eldarica,tree,bark,standing,alive,live,NA,NA,52.6,0.8,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
711,49,2016,gymnosperm,Pinaceae,Pinus,Pinus_eldarica,Pinaceae,Pinus,Pinus_brutia_var_eldarica,tree,branch,standing,alive,live,NA,NA,59.2,1.2,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
712,49,2016,gymnosperm,Pinaceae,Pinus,Pinus_eldarica,Pinaceae,Pinus,Pinus_brutia_var_eldarica,tree,twig,standing,alive,live,NA,NA,47.1,1.8,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
713,49,2016,gymnosperm,Pinaceae,Pinus,Pinus_eldarica,Pinaceae,Pinus,Pinus_brutia_var_eldarica,tree,coarseroot,standing,alive,live,NA,NA,58.3,1.2,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
714,49,2016,angiosperm,Fabaceae,Robinia,Robinia_pseudoacacia,Fabaceae,Robinia,Robinia_pseudoacacia,tree,stem,standing,alive,live,NA,NA,41.8,1.1,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
715,49,2016,angiosperm,Fabaceae,Robinia,Robinia_pseudoacacia,Fabaceae,Robinia,Robinia_pseudoacacia,tree,bark,standing,alive,live,NA,NA,54.1,1.1,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
716,49,2016,angiosperm,Fabaceae,Robinia,Robinia_pseudoacacia,Fabaceae,Robinia,Robinia_pseudoacacia,tree,branch,standing,alive,live,NA,NA,43.8,0.9,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
717,49,2016,angiosperm,Fabaceae,Robinia,Robinia_pseudoacacia,Fabaceae,Robinia,Robinia_pseudoacacia,tree,twig,standing,alive,live,NA,NA,46.6,1,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
718,49,2016,angiosperm,Fabaceae,Robinia,Robinia_pseudoacacia,Fabaceae,Robinia,Robinia_pseudoacacia,tree,coarseroot,standing,alive,live,NA,NA,50.6,0.2,NA,NA,conventional_drying,80,NA,NA,NA,subtropical_Mediterranean,NA,Asia,Iran,32.21667¡N - 32.28333¡ N,51.38333¡E - 51.4500¡ E,NA,NA,15,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,Site MAP used; error in SD
719,50,2017,gymnosperm,Pinaceae,Pinus,Pinus_tabuliformis,Pinaceae,Pinus,Pinus_tabuliformis,tree,branch,standing,alive,live,NA,NA,46.2,0.9,NA,NA,conventional_drying,65,NA,dichromate_oxidation,ground,temperate,NA,Asia,China,35.48028¡N - 36.03361¡ N,109.6469¡E - 110.2131¡E,NA,NA,8.6,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,error in SE (n=3); Site MAP used
720,50,2017,gymnosperm,Pinaceae,Pinus,Pinus_tabuliformis,Pinaceae,Pinus,Pinus_tabuliformis,tree,stem,standing,alive,live,NA,NA,46.9,1.1,NA,NA,conventional_drying,65,NA,dichromate_oxidation,ground,temperate,NA,Asia,China,35.48028¡N - 36.03361¡ N,109.6469¡E - 110.2131¡E,NA,NA,8.6,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,error in SE (n=3); Site MAP used
721,50,2017,gymnosperm,Pinaceae,Pinus,Pinus_tabuliformis,Pinaceae,Pinus,Pinus_tabuliformis,tree,bark,standing,alive,live,NA,NA,43.4,0.7,NA,NA,conventional_drying,65,NA,dichromate_oxidation,ground,temperate,NA,Asia,China,35.48028¡N - 36.03361¡ N,109.6469¡E - 110.2131¡E,NA,NA,8.6,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,error in SE (n=3); Site MAP used
722,50,2017,gymnosperm,Pinaceae,Pinus,Pinus_tabuliformis,Pinaceae,Pinus,Pinus_tabuliformis,tree,fineroot,standing,alive,live,NA,NA,44.9,0.7,NA,NA,conventional_drying,65,NA,dichromate_oxidation,ground,temperate,NA,Asia,China,35.48028¡N - 36.03361¡ N,109.6469¡E - 110.2131¡E,NA,NA,8.6,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin et al. 2018 Nature Geoscience,error in SE (n=3); Site MAP used
